10 CLASSES,,,,,,,,,,,
,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
Class: Animal_Feces_or_Nasal_Swab,0.931034483,0.849287749,0.092624357,0.998659966,0.092624357,0.931034483,0.168486739,0.016255605,0.015134529,0.163396861,0.890161116
Class: Aquatic_Animal,0.290909091,0.890691716,0.04,0.987689394,0.04,0.290909091,0.07032967,0.015414798,0.004484305,0.112107623,0.590800404
Class: Clinical/Human,0.728395062,0.95384129,0.66893424,0.964822514,0.66893424,0.728395062,0.697399527,0.113508969,0.082679372,0.123598655,0.841118176
Class: Dairy,0.561497326,0.913339249,0.263819095,0.974132492,0.263819095,0.561497326,0.358974359,0.052410314,0.029428251,0.111547085,0.737418287
Class: Environment,0.151811949,0.985583224,0.93373494,0.464771323,0.93373494,0.151811949,0.261162595,0.572309417,0.086883408,0.093049327,0.568697587
Class: Food/RTE_Food/Food Producing Environment,0.115384615,0.940342587,0.094170404,0.95186846,0.094170404,0.115384615,0.103703704,0.051008969,0.00588565,0.0625,0.527863601
Class: Fruit,0.433628319,0.906222865,0.131367292,0.979968701,0.131367292,0.433628319,0.201646091,0.031670404,0.013733184,0.104540359,0.669925592
Class: Meat,0.27510917,0.969751423,0.384146341,0.951233843,0.384146341,0.27510917,0.320610687,0.064181614,0.017656951,0.045964126,0.622430296
Class: Poultry,0.359223301,0.924386724,0.123745819,0.97981034,0.123745819,0.359223301,0.184079602,0.028867713,0.010369955,0.083800448,0.641805013
Class: Vegetables,0.237113402,0.908417309,0.129577465,0.95393713,0.129577465,0.237113402,0.167577413,0.054372197,0.012892377,0.099495516,0.572765355
,,,,,,,,,,,
,x,,,,,,,,,,
Accuracy,0.279147982,,,,,,,,,,
Kappa,0.203662448,,,,,,,,,,
AccuracyLower,0.264474714,,,,,,,,,,
AccuracyUpper,0.294183911,,,,,,,,,,
AccuracyNull,0.572309417,,,,,,,,,,
AccuracyPValue,1,,,,,,,,,,
McnemarPValue,0,,,,,,,,,,
,,,,,,,,,,,
,AUC,,,,,,,,,,
1,0.665996465,,,,,,,,,,
2,0.605942891,,,,,,,,,,
3,0.712217816,,,,,,,,,,
4,0.662852667,,,,,,,,,,
5,0.680318617,,,,,,,,,,
6,0.614756598,,,,,,,,,,
7,0.667403961,,,,,,,,,,
8,0.704631288,,,,,,,,,,
9,0.625285879,,,,,,,,,,
10,0.595836521,,,,,,,,,,
,,,,,,,,,,,
9 CLASSES:,,,,,,,,,,,
,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
Class: Animal_Feces_or_Nasal_Swab,0.693333333,0.901412684,0.136842105,0.992389146,0.136842105,0.693333333,0.228571429,0.022045855,0.015285126,0.111699001,0.797373009
Class: Aquatic_Animal,0.348484848,0.863908873,0.048218029,0.985299145,0.048218029,0.348484848,0.084714549,0.019400353,0.006760729,0.14021164,0.606196861
Class: Clinical/Human,0.706443914,0.952061683,0.674259681,0.958488019,0.674259681,0.706443914,0.68997669,0.123162845,0.087007643,0.12904174,0.829252798
Class: Dairy,0.624338624,0.916588858,0.305699482,0.976458886,0.305699482,0.624338624,0.410434783,0.055555556,0.034685479,0.113462669,0.770463741
Class: Environment,0.196665032,0.978723404,0.93255814,0.448855989,0.93255814,0.196665032,0.324827866,0.599353322,0.11787184,0.126396238,0.587694218
Class: Food/RTE_Food/Food Producing Environment,NA,1,NA,NA,NA,NA,NA,0,0,0,NA
Class: Fruit,0.534653465,0.871857013,0.113207547,0.983931624,0.113207547,0.534653465,0.186851211,0.029688419,0.015873016,0.14021164,0.703255239
Class: Meat,0.337606838,0.940025253,0.293680297,0.950526652,0.293680297,0.337606838,0.314115308,0.068783069,0.023221634,0.079071135,0.638816045
Class: Poultry,0.438202247,0.916088138,0.123028391,0.983792545,0.123028391,0.438202247,0.192118227,0.026161082,0.011463845,0.093180482,0.677145192
Class: Vegetables,0.2,0.941158157,0.167400881,0.952125984,0.167400881,0.2,0.182254197,0.0558495,0.0111699,0.066725456,0.570579078
,,,,,,,,,,,
,x,,,,,,,,,,
Accuracy,0.323339212,,,,,,,,,,
Kappa,0.232026388,,,,,,,,,,
AccuracyLower,0.307631676,,,,,,,,,,
AccuracyUpper,0.339350925,,,,,,,,,,
AccuracyNull,0.599353322,,,,,,,,,,
AccuracyPValue,1,,,,,,,,,,
McnemarPValue,NA,,,,,,,,,,
,,,,,,,,,,,
,AUC,,,,,,,,,,
1,0.641295447,,,,,,,,,,
2,0.648158325,,,,,,,,,,
3,0.733426151,,,,,,,,,,
4,0.655227282,,,,,,,,,,
5,0.695254719,,,,,,,,,,
6,0.655214967,,,,,,,,,,
7,0.697302764,,,,,,,,,,
8,0.613670159,,,,,,,,,,
9,0.618125754,,,,,,,,,,